poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/iqQw58Cbgh5r7XRYUZpJPDPQD0m.jpg,0.0,https://vip.idlixvip.asia/movie/plankton-the-movie-2025/,Plankton: The Movie (2025),2025-03-08
https://image.tmdb.org/t/p/w185/lI2uFlSEkwXKljqiry7coaJ6wIS.jpg,0.0,https://vip.idlixvip.asia/movie/counterattack-2025/,Counterattack (2025),2025-02-27
https://image.tmdb.org/t/p/w185/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg,7.9,https://vip.idlixvip.asia/movie/e-t-the-extra-terrestrial-1982/,E.T. the Extra-Terrestrial (1982),1982-06-11
https://image.tmdb.org/t/p/w185/lPU2nuN0UwwZ6Aj2F58HzYujQiI.jpg,7.8,https://vip.idlixvip.asia/tvseries/good-bye-dragon-life-2024/,"Good Bye, Dragon Life (2024)",2024-10-11
https://image.tmdb.org/t/p/w185/uryb30IYNtFCovDWKMvr8reFJu2.jpg,7.8,https://vip.idlixvip.asia/tvseries/mecha-ude-mechanical-arms-2024/,Mecha-Ude: Mechanical Arms (2024),2024-10-04
https://image.tmdb.org/t/p/w185/qLWqaHiJpUbtlUKVxRneWBnTKTd.jpg,6.0,https://vip.idlixvip.asia/tvseries/undercover-high-school-2025/,Undercover High School (2025),2025-02-21
https://image.tmdb.org/t/p/w185/99U8D2xZxpcqD0XgKFfMrZyPeqH.jpg,6.8,https://vip.idlixvip.asia/movie/lemony-snickets-a-series-of-unfortunate-events-2004/,Lemony Snicket's A Series of Unfortunate Events (2004),2004-12-16
https://image.tmdb.org/t/p/w185/8rdB1wkheEMMqcY8qLAKjCMPcnZ.jpg,7.0,https://vip.idlixvip.asia/movie/my-hero-academia-youre-next-2024/,My Hero Academia: You're Next (2024),2024-08-02
https://image.tmdb.org/t/p/w185/1ffZAucqfvQu36x1C49XfOdjuOG.jpg,6.8,https://vip.idlixvip.asia/movie/paddington-in-peru-2024/,Paddington in Peru (2024),2024-11-08
https://image.tmdb.org/t/p/w185/baRk5YLkKKYrnfcVjpJ5iEUC0zj.jpg,0.0,https://vip.idlixvip.asia/movie/the-legend-of-condor-hero-what-is-love-2025/,The Legend of Condor Hero: What is Love (2025),2025-01-22
https://image.tmdb.org/t/p/w185/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,6.7,https://vip.idlixvip.asia/movie/armageddon-1998/,Armageddon (1998),1998-07-01
https://image.tmdb.org/t/p/w185/8PRVIfZzDgw8EV3sDWJ6NA1ZMAn.jpg,6.0,https://vip.idlixvip.asia/movie/dantes-peak-1997/,Dante's Peak (1997),1997-02-07
