poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/lPU2nuN0UwwZ6Aj2F58HzYujQiI.jpg,7.8,https://vip.idlixvip.asia/tvseries/good-bye-dragon-life-2024/,"Good Bye, Dragon Life (2024)",2024-10-11
https://image.tmdb.org/t/p/w185/m5rKz6sVlku4uEG53jwb01chs6O.jpg,6.8,https://vip.idlixvip.asia/tvseries/acro-trip-2024/,Acro Trip (2024),2024-10-02
https://image.tmdb.org/t/p/w185/uryb30IYNtFCovDWKMvr8reFJu2.jpg,7.8,https://vip.idlixvip.asia/tvseries/mecha-ude-mechanical-arms-2024/,Mecha-Ude: Mechanical Arms (2024),2024-10-04
https://image.tmdb.org/t/p/w185/tgShBwmiM8tHGSOcHZbCqV0bM55.jpg,8.0,https://vip.idlixvip.asia/tvseries/win-or-lose-2025/,Win or Lose (2025),2025-02-19
https://image.tmdb.org/t/p/w185/lMVkOrMaWEkHZLdPksKGcdi6hJg.jpg,7.8,https://vip.idlixvip.asia/tvseries/365-days-to-the-wedding-2024/,365 Days to the Wedding (2024),2024-10-03
https://image.tmdb.org/t/p/w185/cT42kvfbb2zKvjij4iEg4ZfDWzN.jpg,7.0,https://vip.idlixvip.asia/tvseries/kinokoinu-mushroom-pup-2024/,Kinokoinu Mushroom Pup (2024),2024-10-03
https://image.tmdb.org/t/p/w185/mloJqPmcp7UggYWGeEpSoOjPosk.jpg,5.8,https://vip.idlixvip.asia/tvseries/the-healer-who-was-banished-from-his-party-is-in-fact-the-strongest-2024/,"The Healer Who Was Banished from His Party, Is, in Fact, the Strongest (2024)",2024-10-06
https://image.tmdb.org/t/p/w185/kjcsNeqF52YUQ2rUBGLMHwLkxvR.jpg,10.0,https://vip.idlixvip.asia/tvseries/your-friendly-neighborhood-spider-man-2025/,Your Friendly Neighborhood Spider-Man (2025),2025-01-29
https://image.tmdb.org/t/p/w185/2bO4wYNTYSC2mV0YvomZtaHRLMp.jpg,8.2,https://vip.idlixvip.asia/tvseries/ouran-high-school-host-club-2006/,Ouran High School Host Club (2006),2006-04-05
https://image.tmdb.org/t/p/w185/eyFOI6GkIN9JI1qaGLpEkrRlXdc.jpg,7.5,https://vip.idlixvip.asia/tvseries/you-are-ms-servant-2024/,You are Ms. Servant (2024),2024-10-06
https://image.tmdb.org/t/p/w185/egViTAdBqUyUFI2sIBsGbnH5Sun.jpg,7.3,https://vip.idlixvip.asia/tvseries/let-this-grieving-soul-retire-2024/,Let This Grieving Soul Retire (2024),2024-10-01
https://image.tmdb.org/t/p/w185/goE7QiiaRkzVLnwaODRNKarWljv.jpg,8.4,https://vip.idlixvip.asia/tvseries/nina-the-starry-bride-2024/,Nina the Starry Bride (2024),2024-10-07
https://image.tmdb.org/t/p/w185/lBOHMPWetQprntjjtGquHwIHSvx.jpg,8.2,https://vip.idlixvip.asia/tvseries/sakamoto-days-2025/,SAKAMOTO DAYS (2025),2025-01-11
https://image.tmdb.org/t/p/w185/uXPVVKStMexPJbFyi2U92Vmrm5K.jpg,0.0,https://vip.idlixvip.asia/tvseries/ubel-blatt-2025/,Übel Blatt (2025),2025-01-11
https://image.tmdb.org/t/p/w185/eHO3t7hLXmvD39m553Pgp8YTgEB.jpg,0.0,https://vip.idlixvip.asia/tvseries/babanba-banban-vampire-2025/,Babanba Banban Vampire (2025),2025-01-12
https://image.tmdb.org/t/p/w185/lTDWs3IjKwiBz00c8bzVmrgLa3A.jpg,8.1,https://vip.idlixvip.asia/tvseries/ill-become-a-villainess-who-goes-down-in-history-2024/,I'll Become a Villainess Who Goes Down in History (2024),2024-10-02
https://image.tmdb.org/t/p/w185/cgOxtjZEkGHnmjjbj5d7s7Mp8x9.jpg,8.2,https://vip.idlixvip.asia/tvseries/yakuza-fiance-raise-wa-tanin-ga-ii-2024/,Yakuza Fiancé: Raise wa Tanin ga Ii (2024),2024-10-07
https://image.tmdb.org/t/p/w185/vvpBGiUxOI7QwILqYisu0D4TmLI.jpg,8.857,https://vip.idlixvip.asia/tvseries/the-do-over-damsel-conquers-the-dragon-emperor-2024/,The Do-Over Damsel Conquers The Dragon Emperor (2024),2024-10-09
https://image.tmdb.org/t/p/w185/5RL8vgrThMe92wcJPZGpJc3XI94.jpg,8.063,https://vip.idlixvip.asia/tvseries/demon-lord-2099-2024/,DEMON LORD 2099 (2024),2024-10-13
https://image.tmdb.org/t/p/w185/6BxK38ehxuX2dJmZIMpJcVNbYks.jpg,8.0,https://vip.idlixvip.asia/movie/wallace-gromit-vengeance-most-fowl-2024/,Wallace & Gromit: Vengeance Most Fowl (2024),2024-12-18
https://image.tmdb.org/t/p/w185/4H8PgNVqdIws37dxOTSmcdkVK8d.jpg,6.7,https://vip.idlixvip.asia/movie/over-the-hedge-2006/,Over the Hedge (2006),2006-05-17
https://image.tmdb.org/t/p/w185/cMQ2lNd7sBe6PCf6zF5QxrKzbRG.jpg,7.5,https://vip.idlixvip.asia/movie/wallace-gromit-the-curse-of-the-were-rabbit-2005/,Wallace & Gromit: The Curse of the Were-Rabbit (2005),2005-09-15
https://image.tmdb.org/t/p/w185/jbOSUAWMGzGL1L4EaUF8K6zYFo7.jpg,6.7,https://vip.idlixvip.asia/movie/mufasa-the-lion-king-2024/,Mufasa: The Lion King (2024),2024-12-18
https://image.tmdb.org/t/p/w185/m0SbwFNCa9epW1X60deLqTHiP7x.jpg,7.0,https://vip.idlixvip.asia/movie/moana-2-2024/,Moana 2 (2024),2024-11-21
https://image.tmdb.org/t/p/w185/hE9SAMyMSUGAPsHUGdyl6irv11v.jpg,6.6,https://vip.idlixvip.asia/movie/the-lord-of-the-rings-the-war-of-the-rohirrim-2024/,The Lord of the Rings: The War of the Rohirrim (2024),2024-12-05
https://image.tmdb.org/t/p/w185/wIVLCnwYynKIiAheJoEQtC8gTjq.jpg,6.1,https://vip.idlixvip.asia/movie/bambi-ii-2006/,Bambi II (2006),2006-01-26
https://image.tmdb.org/t/p/w185/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg,7.3,https://vip.idlixvip.asia/movie/bambi-1942/,Bambi (1942),1942-02-11
https://image.tmdb.org/t/p/w185/7tVqRMzxllwlYpS3w7kSTgVyz6S.jpg,5.0,https://vip.idlixvip.asia/tvseries/magilumiere-magical-girls-inc-2024/,Magilumiere Magical Girls Inc. (2024),2024-10-04
https://image.tmdb.org/t/p/w185/z0udnWYj8tXjzqYzT6MSBbZ1sMf.jpg,7.1,https://vip.idlixvip.asia/tvseries/the-strongest-magician-in-the-demon-lords-army-was-a-human-2024/,The Strongest Magician in the Demon Lord's Army Was a Human (2024),2024-07-03
https://image.tmdb.org/t/p/w185/ovAxLGM0I9Dn2DIUuYhgvNVbwht.jpg,5.6,https://vip.idlixvip.asia/movie/mulan-ii-2004/,Mulan II (2004),2004-11-03
https://image.tmdb.org/t/p/w185/5TYgKxYhnhRNNwqnRAKHkgfqi2G.jpg,7.7,https://vip.idlixvip.asia/movie/mulan-1998/,Mulan (1998),1998-06-18
https://image.tmdb.org/t/p/w185/qYSvfn7OyVNB78ylL0m0Jw3oOrl.jpg,7.1,https://vip.idlixvip.asia/tvseries/shoshimin-how-to-become-ordinary-2024/,SHOSHIMIN: How to Become Ordinary (2024),2024-07-07
https://image.tmdb.org/t/p/w185/68HzyzxWHou2YyiueJZYnPZUbfd.jpg,5.8,https://vip.idlixvip.asia/movie/epic-tails-2023/,Epic Tails (2023),2023-01-25
https://image.tmdb.org/t/p/w185/j9jz5wZlQoq65YuYPNauB72uvFJ.jpg,7.3,https://vip.idlixvip.asia/tvseries/dream-productions-2024/,Dream Productions (2024),2024-12-11
https://image.tmdb.org/t/p/w185/zKfE4AevCL8RjfcrhfJZat5vWTb.jpg,5.5,https://vip.idlixvip.asia/tvseries/barbie-mysteries-the-great-horse-chase-2024/,Barbie Mysteries: The Great Horse Chase (2024),2024-11-01
https://image.tmdb.org/t/p/w185/vNeq9t40tzddaZls9YntaHeaVdn.jpg,7.9,https://vip.idlixvip.asia/tvseries/days-with-my-stepsister-2024/,Days with My Stepsister (2024),2024-07-04
https://image.tmdb.org/t/p/w185/ttaknfJP0qjg7kMKwH0w29fcE6d.jpg,7.2,https://vip.idlixvip.asia/tvseries/my-wife-has-no-emotion-2024/,My Wife Has No Emotion (2024),2024-07-02
