poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/lPU2nuN0UwwZ6Aj2F58HzYujQiI.jpg,7.8,https://vip.idlixvip.asia/tvseries/good-bye-dragon-life-2024/,"Good Bye, Dragon Life (2024)",2024-10-11
https://image.tmdb.org/t/p/w185/m5rKz6sVlku4uEG53jwb01chs6O.jpg,6.8,https://vip.idlixvip.asia/tvseries/acro-trip-2024/,Acro Trip (2024),2024-10-02
https://image.tmdb.org/t/p/w185/uryb30IYNtFCovDWKMvr8reFJu2.jpg,7.8,https://vip.idlixvip.asia/tvseries/mecha-ude-mechanical-arms-2024/,Mecha-Ude: Mechanical Arms (2024),2024-10-04
https://image.tmdb.org/t/p/w185/lMVkOrMaWEkHZLdPksKGcdi6hJg.jpg,7.8,https://vip.idlixvip.asia/tvseries/365-days-to-the-wedding-2024/,365 Days to the Wedding (2024),2024-10-03
https://image.tmdb.org/t/p/w185/cT42kvfbb2zKvjij4iEg4ZfDWzN.jpg,7.0,https://vip.idlixvip.asia/tvseries/kinokoinu-mushroom-pup-2024/,Kinokoinu Mushroom Pup (2024),2024-10-03
https://image.tmdb.org/t/p/w185/mloJqPmcp7UggYWGeEpSoOjPosk.jpg,5.8,https://vip.idlixvip.asia/tvseries/the-healer-who-was-banished-from-his-party-is-in-fact-the-strongest-2024/,"The Healer Who Was Banished from His Party, Is, in Fact, the Strongest (2024)",2024-10-06
https://image.tmdb.org/t/p/w185/2bO4wYNTYSC2mV0YvomZtaHRLMp.jpg,8.2,https://vip.idlixvip.asia/tvseries/ouran-high-school-host-club-2006/,Ouran High School Host Club (2006),2006-04-05
https://image.tmdb.org/t/p/w185/eyFOI6GkIN9JI1qaGLpEkrRlXdc.jpg,7.5,https://vip.idlixvip.asia/tvseries/you-are-ms-servant-2024/,You are Ms. Servant (2024),2024-10-06
https://image.tmdb.org/t/p/w185/egViTAdBqUyUFI2sIBsGbnH5Sun.jpg,7.3,https://vip.idlixvip.asia/tvseries/let-this-grieving-soul-retire-2024/,Let This Grieving Soul Retire (2024),2024-10-01
https://image.tmdb.org/t/p/w185/goE7QiiaRkzVLnwaODRNKarWljv.jpg,8.4,https://vip.idlixvip.asia/tvseries/nina-the-starry-bride-2024/,Nina the Starry Bride (2024),2024-10-07
https://image.tmdb.org/t/p/w185/lBOHMPWetQprntjjtGquHwIHSvx.jpg,8.2,https://vip.idlixvip.asia/tvseries/sakamoto-days-2025/,SAKAMOTO DAYS (2025),2025-01-11
https://image.tmdb.org/t/p/w185/uXPVVKStMexPJbFyi2U92Vmrm5K.jpg,0.0,https://vip.idlixvip.asia/tvseries/ubel-blatt-2025/,Übel Blatt (2025),2025-01-11
https://image.tmdb.org/t/p/w185/eHO3t7hLXmvD39m553Pgp8YTgEB.jpg,0.0,https://vip.idlixvip.asia/tvseries/babanba-banban-vampire-2025/,Babanba Banban Vampire (2025),2025-01-12
https://image.tmdb.org/t/p/w185/lTDWs3IjKwiBz00c8bzVmrgLa3A.jpg,8.1,https://vip.idlixvip.asia/tvseries/ill-become-a-villainess-who-goes-down-in-history-2024/,I'll Become a Villainess Who Goes Down in History (2024),2024-10-02
https://image.tmdb.org/t/p/w185/cgOxtjZEkGHnmjjbj5d7s7Mp8x9.jpg,8.2,https://vip.idlixvip.asia/tvseries/yakuza-fiance-raise-wa-tanin-ga-ii-2024/,Yakuza Fiancé: Raise wa Tanin ga Ii (2024),2024-10-07
https://image.tmdb.org/t/p/w185/vvpBGiUxOI7QwILqYisu0D4TmLI.jpg,8.857,https://vip.idlixvip.asia/tvseries/the-do-over-damsel-conquers-the-dragon-emperor-2024/,The Do-Over Damsel Conquers The Dragon Emperor (2024),2024-10-09
https://image.tmdb.org/t/p/w185/5RL8vgrThMe92wcJPZGpJc3XI94.jpg,8.063,https://vip.idlixvip.asia/tvseries/demon-lord-2099-2024/,DEMON LORD 2099 (2024),2024-10-13
https://image.tmdb.org/t/p/w185/7tVqRMzxllwlYpS3w7kSTgVyz6S.jpg,5.0,https://vip.idlixvip.asia/tvseries/magilumiere-magical-girls-inc-2024/,Magilumiere Magical Girls Inc. (2024),2024-10-04
https://image.tmdb.org/t/p/w185/z0udnWYj8tXjzqYzT6MSBbZ1sMf.jpg,7.1,https://vip.idlixvip.asia/tvseries/the-strongest-magician-in-the-demon-lords-army-was-a-human-2024/,The Strongest Magician in the Demon Lord's Army Was a Human (2024),2024-07-03
https://image.tmdb.org/t/p/w185/qYSvfn7OyVNB78ylL0m0Jw3oOrl.jpg,7.1,https://vip.idlixvip.asia/tvseries/shoshimin-how-to-become-ordinary-2024/,SHOSHIMIN: How to Become Ordinary (2024),2024-07-07
https://image.tmdb.org/t/p/w185/vNeq9t40tzddaZls9YntaHeaVdn.jpg,7.9,https://vip.idlixvip.asia/tvseries/days-with-my-stepsister-2024/,Days with My Stepsister (2024),2024-07-04
https://image.tmdb.org/t/p/w185/ttaknfJP0qjg7kMKwH0w29fcE6d.jpg,7.2,https://vip.idlixvip.asia/tvseries/my-wife-has-no-emotion-2024/,My Wife Has No Emotion (2024),2024-07-02
https://image.tmdb.org/t/p/w185/rK7AYPKYdE0yI6MUK0CVK6ErFTl.jpg,5.1,https://vip.idlixvip.asia/tvseries/synduality-noir-2023/,Synduality Noir (2023),2023-07-11
https://image.tmdb.org/t/p/w185/iuo2jor1Hya3bT1imNxEScgoh5o.jpg,7.8,https://vip.idlixvip.asia/tvseries/bye-bye-earth-2024/,"Bye Bye, Earth (2024)",2024-07-12
https://image.tmdb.org/t/p/w185/32faS0d5neXtiMXFR0xiJPWOtn2.jpg,7.6,https://vip.idlixvip.asia/tvseries/a-journey-through-another-world-raising-kids-while-adventuring-2024/,A Journey Through Another World: Raising Kids While Adventuring (2024),2024-07-08
https://image.tmdb.org/t/p/w185/2X8iOGsSZ3lceTpfDp3dIfZWLJG.jpg,6.6,https://vip.idlixvip.asia/tvseries/endro-2019/,Endro! (2019),2019-01-13
https://image.tmdb.org/t/p/w185/45KqPcfk6qrxl5XF7z9Wwtvo0vw.jpg,7.276,https://vip.idlixvip.asia/tvseries/villainess-level-99-i-may-be-the-hidden-boss-but-im-not-the-demon-lord-2024/,Villainess Level 99: I May Be the Hidden Boss But I'm Not the Demon Lord (2024),2024-01-09
https://image.tmdb.org/t/p/w185/iXLZtzmxRPMMYyNtSOysGWLEmd1.jpg,7.714,https://vip.idlixvip.asia/tvseries/assault-lily-bouquet-2020/,Assault Lily: BOUQUET (2020),2020-10-02
https://image.tmdb.org/t/p/w185/m19Cko9WIICOCdV7qiRyj5ZxyhE.jpg,5.9,https://vip.idlixvip.asia/tvseries/love-all-play-2022-2/,Love All Play (2022),2022-04-02
https://image.tmdb.org/t/p/w185/vfbBzqu5wU4qgbGlamEmBCHSU4t.jpg,8.349,https://vip.idlixvip.asia/tvseries/yashahime-princess-half-demon-2020/,Yashahime: Princess Half-Demon (2020),2020-10-03
https://image.tmdb.org/t/p/w185/pSiUxpYcD3obCg4uHTypZp1MwSv.jpg,6.5,https://vip.idlixvip.asia/tvseries/deep-insanity-the-lost-child-2021/,Deep Insanity: The Lost Child (2021),2021-10-13
https://image.tmdb.org/t/p/w185/jy4mxxs57mSMuZJgjrUWoDXfWAN.jpg,7.2,https://vip.idlixvip.asia/tvseries/the-great-passage-2016/,The Great Passage (2016),2016-10-14
https://image.tmdb.org/t/p/w185/ugCejM0oYBHjp4ldn50W4TYoPBH.jpg,6.1,https://vip.idlixvip.asia/tvseries/battery-2016/,Battery (2016),2016-07-15
https://image.tmdb.org/t/p/w185/pdx9MeBXnPwp7vnZBco7GUXaGaV.jpg,7.1,https://vip.idlixvip.asia/tvseries/after-the-rain-2018/,After the Rain (2018),2018-01-12
https://image.tmdb.org/t/p/w185/d2TW5Rtd0uCasHlQygsDfWCROl2.jpg,8.582,https://vip.idlixvip.asia/tvseries/banana-fish-2018/,Banana Fish (2018),2018-07-06
https://image.tmdb.org/t/p/w185/3MvNTEbOAgNsXPkzcYvBw6gJNzo.jpg,9.0,https://vip.idlixvip.asia/tvseries/tokyo-override-2024/,Tokyo Override (2024),2024-11-21
https://image.tmdb.org/t/p/w185/2qk71WwLTwKUjORZTdlMWpkLngp.jpg,7.6,https://vip.idlixvip.asia/tvseries/pseudo-harem-2024/,Pseudo Harem (2024),2024-07-05
