poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/q88TUs0LYOS2ZnyBxpDjWtyZddN.jpg,6.4,https://vip2.idlixvip.asia/movie/the-82nd-golden-globes-awards-2025/,The 82nd Golden Globes Awards (2025),2025-01-05
https://image.tmdb.org/t/p/w185/uWcMgxO3p3qwVFUxsRz1HbTzGvT.jpg,8.1,https://vip2.idlixvip.asia/movie/rush-2013/,Rush (2013),2013-09-02
https://image.tmdb.org/t/p/w185/h09nsvxZH72zx2U8gS8vrg47aRk.jpg,6.6,https://vip2.idlixvip.asia/movie/the-eyes-of-tammy-faye-2021/,The Eyes of Tammy Faye (2021),2021-09-17
https://image.tmdb.org/t/p/w185/qz2aBYT8CAiJYvX4fRZpJ5G0Oz1.jpg,7.8,https://vip2.idlixvip.asia/movie/the-motorcycle-diaries-2004/,The Motorcycle Diaries (2004),2004-02-06
https://image.tmdb.org/t/p/w185/yswbLHDNm4gdbIk3DVEKT7Yzu4T.jpg,6.4,https://vip2.idlixvip.asia/movie/kill-your-darlings-2013/,Kill Your Darlings (2013),2013-09-19
https://image.tmdb.org/t/p/w185/3mInLZyPOVLsZRsBwNHi3UJXXnm.jpg,7.3,https://vip2.idlixvip.asia/movie/belfast-2021/,Belfast (2021),2021-11-12
https://image.tmdb.org/t/p/w185/4YJNp1cquIkX8JxFwkKNEFQ9tgr.jpg,7.6,https://vip2.idlixvip.asia/movie/just-mercy-2019/,Just Mercy (2019),2019-12-25
https://image.tmdb.org/t/p/w185/a8dlDPwo9mnorurL6ukIpyHZZd7.jpg,6.7,https://vip2.idlixvip.asia/movie/the-pirates-of-somalia-2017/,The Pirates of Somalia (2017),2017-12-08
https://image.tmdb.org/t/p/w185/mXZZIacI5FC8thzSC0lgQBQ2uAX.jpg,7.1,https://vip2.idlixvip.asia/movie/the-danish-girl-2015/,The Danish Girl (2015),2015-01-01
https://image.tmdb.org/t/p/w185/6VxEvOF7QDovsG6ro9OVyjH07LF.jpg,6.5,https://vip2.idlixvip.asia/movie/master-z-ip-man-legacy-2018/,Master Z: Ip Man Legacy (2018),2018-12-20
https://image.tmdb.org/t/p/w185/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,7.8,https://vip2.idlixvip.asia/movie/the-social-network-2010/,The Social Network (2010),2010-10-01
https://image.tmdb.org/t/p/w185/i1U46OwMc6vlm7OoSUKfqUH615e.jpg,7.3,https://vip2.idlixvip.asia/movie/american-sniper-2014/,American Sniper (2014),2014-12-25
