poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/1a3P3Pt0aE7XnZpLoyz1Mrp1Mn6.jpg,7.0,https://vip2.idlixvip.asia/tvseries/the-embers-2025/,The Embers (2025),2025-02-08
https://image.tmdb.org/t/p/w185/tkgOwXrCgrEc53K1lVljL5MevDA.jpg,8.8,https://vip2.idlixvip.asia/tvseries/just-one-look-2025/,Just One Look (2025),2025-03-05
https://image.tmdb.org/t/p/w185/z6IJi7xmAMmKdbzSnwguIXLIVjN.jpg,6.8,https://vip2.idlixvip.asia/tvseries/suzhal-the-vortex-2022/,Suzhal – The Vortex (2022),2022-06-17
https://image.tmdb.org/t/p/w185/gzmy7jVhInXOPXhf0mxi7Xmb9m5.jpg,7.0,https://vip2.idlixvip.asia/tvseries/okura-cold-case-investigation-2024/,Okura: Cold Case Investigation (2024),2024-10-08
https://image.tmdb.org/t/p/w185/9lLuhV703HGCbnz6FxnqCwIwzAZ.jpg,7.2,https://vip2.idlixvip.asia/tvseries/daredevil-born-again-2025/,Daredevil: Born Again (2025),2025-03-04
https://image.tmdb.org/t/p/w185/ezT0x7ZdAjrR5mFtkNjWxOFcTIB.jpg,6.7,https://vip2.idlixvip.asia/tvseries/dabba-cartel-2025/,Dabba Cartel (2025),2025-02-28
https://image.tmdb.org/t/p/w185/lst1t3sln5F7p2MsYwFevVNDOJV.jpg,7.0,https://vip2.idlixvip.asia/tvseries/bad-sport-2021/,Bad Sport (2021),2021-10-06
https://image.tmdb.org/t/p/w185/aNXjZwYesgmveMMeQVHERGLQrRs.jpg,8.0,https://vip2.idlixvip.asia/tvseries/dalah-death-and-the-flowers-2025/,Dalah: Death and the Flowers (2025),2025-02-27
https://image.tmdb.org/t/p/w185/kscD2rbZ3bfriGSylsclRHayDXF.jpg,6.3,https://vip2.idlixvip.asia/tvseries/the-big-conn-2022/,The Big Conn (2022),2022-05-05
https://image.tmdb.org/t/p/w185/797VgtERLN1F4YyEFTCNBD8MYrV.jpg,7.4,https://vip2.idlixvip.asia/tvseries/paatal-lok-2020/,Paatal Lok (2020),2020-05-15
https://image.tmdb.org/t/p/w185/2z4ePy6Z6cURDvNnEmR36nidBNU.jpg,5.4,https://vip2.idlixvip.asia/tvseries/now-and-then-2022/,Now and Then (2022),2022-05-20
https://image.tmdb.org/t/p/w185/vKf5h2xEtmTSp4GcYXPOUWdocQ7.jpg,10.0,https://vip2.idlixvip.asia/tvseries/buried-hearts-2025/,Buried Hearts (2025),2025-02-21
https://image.tmdb.org/t/p/w185/zEoX8FfgkQKHMybmxlJ8Vv5huWC.jpg,6.1,https://vip2.idlixvip.asia/tvseries/possessed-2019/,Possessed (2019),2019-03-06
https://image.tmdb.org/t/p/w185/9n0Tb4YyBgTl0yYBcWfhkd92K11.jpg,6.8,https://vip2.idlixvip.asia/tvseries/american-murder-gabby-petito-2025/,American Murder: Gabby Petito (2025),2025-02-17
https://image.tmdb.org/t/p/w185/j5bP7spdfS0NpDLKDlqJYyJPi1j.jpg,8.5,https://vip2.idlixvip.asia/tvseries/dexter-original-sin-2024/,Dexter: Original Sin (2024),2024-12-15
