poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/iqQw58Cbgh5r7XRYUZpJPDPQD0m.jpg,0.0,https://vip2.idlixvip.asia/movie/plankton-the-movie-2025/,Plankton: The Movie (2025),2025-03-08
https://image.tmdb.org/t/p/w185/gD27DMU9jAnjoQp4yoOK2XCjiwN.jpg,5.9,https://vip2.idlixvip.asia/movie/the-unbreakable-boy-2025/,The Unbreakable Boy (2025),2025-02-20
https://image.tmdb.org/t/p/w185/uDVsBMUE3QI0lZE44vfqpIojqRg.jpg,0.0,https://vip2.idlixvip.asia/movie/barbie-teresa-recipe-for-friendship-2025/,Barbie & Teresa: Recipe for Friendship (2025),2025-03-06
https://image.tmdb.org/t/p/w185/rqzv36dIy15ZdJvud02mYKKCRyT.jpg,7.1,https://vip2.idlixvip.asia/movie/i-want-to-talk-2024/,I Want to Talk (2024),2024-11-22
https://image.tmdb.org/t/p/w185/ezZWkcI8FOQmJj6aPAADV7dg12.jpg,7.2,https://vip2.idlixvip.asia/movie/the-mehta-boys-2024/,The Mehta Boys (2024),2024-09-20
https://image.tmdb.org/t/p/w185/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg,7.9,https://vip2.idlixvip.asia/movie/e-t-the-extra-terrestrial-1982/,E.T. the Extra-Terrestrial (1982),1982-06-11
https://image.tmdb.org/t/p/w185/99U8D2xZxpcqD0XgKFfMrZyPeqH.jpg,6.8,https://vip2.idlixvip.asia/movie/lemony-snickets-a-series-of-unfortunate-events-2004/,Lemony Snicket's A Series of Unfortunate Events (2004),2004-12-16
https://image.tmdb.org/t/p/w185/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,6.4,https://vip2.idlixvip.asia/movie/dog-man-2025/,Dog Man (2025),2025-01-24
https://image.tmdb.org/t/p/w185/1ffZAucqfvQu36x1C49XfOdjuOG.jpg,6.8,https://vip2.idlixvip.asia/movie/paddington-in-peru-2024/,Paddington in Peru (2024),2024-11-08
https://image.tmdb.org/t/p/w185/rLj287mA1tp4hZmd69umb1rOZu8.jpg,7.1,https://vip2.idlixvip.asia/movie/big-world-2024/,Big World (2024),2024-12-27
https://image.tmdb.org/t/p/w185/kUAP8vw4Bklp9Z01H9K0k6iRihk.jpg,6.4,https://vip2.idlixvip.asia/movie/rebellious-2024/,Rebellious (2024),2024-10-25
https://image.tmdb.org/t/p/w185/hPcImYndWESKHzT2GHVCDsUxzYg.jpg,6.8,https://vip2.idlixvip.asia/movie/mr-peabody-sherman-2014/,Mr. Peabody & Sherman (2014),2014-02-07
https://image.tmdb.org/t/p/w185/Ac9xJvb1oTnv71j2yfdCQktIlYT.jpg,7.7,https://vip2.idlixvip.asia/movie/hilda-and-the-mountain-king-2021/,Hilda and the Mountain King (2021),2021-12-30
https://image.tmdb.org/t/p/w185/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,7.2,https://vip2.idlixvip.asia/movie/sonic-the-hedgehog-3-2024/,Sonic the Hedgehog 3 (2024),2024-12-19
