poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/i2EEr2uBvRlAwJ8d8zTG2Y19mIa.jpg,8.644,https://vip2.idlixvip.asia/tvseries/hunter-x-hunter-2011/,Hunter x Hunter (2011),2011-10-02
https://image.tmdb.org/t/p/w185/iqQw58Cbgh5r7XRYUZpJPDPQD0m.jpg,0.0,https://vip2.idlixvip.asia/movie/plankton-the-movie-2025/,Plankton: The Movie (2025),2025-03-08
https://image.tmdb.org/t/p/w185/7mgrqBuQOlJRqMppIp5T6MY5tT1.jpg,7.2,https://vip2.idlixvip.asia/tvseries/love-of-the-divine-tree-2025/,Love of the Divine Tree (2025),2025-02-07
https://image.tmdb.org/t/p/w185/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg,7.9,https://vip2.idlixvip.asia/movie/e-t-the-extra-terrestrial-1982/,E.T. the Extra-Terrestrial (1982),1982-06-11
https://image.tmdb.org/t/p/w185/lPU2nuN0UwwZ6Aj2F58HzYujQiI.jpg,7.8,https://vip2.idlixvip.asia/tvseries/good-bye-dragon-life-2024/,"Good Bye, Dragon Life (2024)",2024-10-11
https://image.tmdb.org/t/p/w185/m5rKz6sVlku4uEG53jwb01chs6O.jpg,6.8,https://vip2.idlixvip.asia/tvseries/acro-trip-2024/,Acro Trip (2024),2024-10-02
https://image.tmdb.org/t/p/w185/uryb30IYNtFCovDWKMvr8reFJu2.jpg,7.8,https://vip2.idlixvip.asia/tvseries/mecha-ude-mechanical-arms-2024/,Mecha-Ude: Mechanical Arms (2024),2024-10-04
https://image.tmdb.org/t/p/w185/ge0Lk0fDBoFNGdtBXnIEaonyfTW.jpg,5.9,https://vip2.idlixvip.asia/tvseries/liseys-story-2021/,Lisey's Story (2021),2021-06-04
https://image.tmdb.org/t/p/w185/baRk5YLkKKYrnfcVjpJ5iEUC0zj.jpg,0.0,https://vip2.idlixvip.asia/movie/the-legend-of-condor-hero-what-is-love-2025/,The Legend of Condor Hero: What is Love (2025),2025-01-22
https://image.tmdb.org/t/p/w185/2WoKKvmRrEcTlrhZiRnwD2rGq0I.jpg,0.0,https://vip2.idlixvip.asia/movie/green-snake-the-origin-2025/,Green Snake: The Origin (2025),2025-02-12
https://image.tmdb.org/t/p/w185/kUAP8vw4Bklp9Z01H9K0k6iRihk.jpg,6.4,https://vip2.idlixvip.asia/movie/rebellious-2024/,Rebellious (2024),2024-10-25
https://image.tmdb.org/t/p/w185/mfy5SyaNBleBACs5mIVudDP7UNY.jpg,0.0,https://vip2.idlixvip.asia/movie/the-witcher-sirens-of-the-deep-2025/,The Witcher: Sirens of the Deep (2025),2025-02-10
https://image.tmdb.org/t/p/w185/tsCKUs9uPl7JD5oovexnXgAW5Jy.jpg,7.7,https://vip2.idlixvip.asia/movie/better-man-2024/,Better Man (2024),2024-12-14
https://image.tmdb.org/t/p/w185/kAM5AQMY3mumGm1Dnts8hrJZvYS.jpg,6.4,https://vip2.idlixvip.asia/tvseries/cassandra-2025/,Cassandra (2025),2025-02-06
https://image.tmdb.org/t/p/w185/hP9bsI2B7HONwDrzoNw5Q3QJMqU.jpg,9.9,https://vip2.idlixvip.asia/tvseries/newtopia-2025/,Newtopia (2025),2025-02-07
