title,genre,overview
#Alive (2020),"action, horror, thriller","While a grisly virus ravages a Korean city, Joon-woo tries to stay safe by locking himself inside his apartment. Just as he loses hope, he discovers another survivor"
#Manhole (2023),thriller,"A young girl is kidnapped and thrown into a manhole by a serial killer. Meanwhile, her sister tries to find her with little time on her hands"
"'Tis Time for ""Torture,"" Princess (2024)","animation, anime, comedy, fantasy, science fiction","As the war between the Imperial Army and Hellhorde rages on, the Princess, despite being armed with her mythical sword Excalibur, is captured and imprisoned. What kind of torture does she face at the hands of the chief demon interrogator? Fluffy fresh-baked toast! Hot, steaming ramen! Oh, the humanity! Can the Princess withstand these tormenting treats and keep her kingdom's secrets safe?"
(500) Days of Summer (2009),"comedy, drama, romance","Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life."
(Un)lucky Sisters (2024),comedy,"When their dad unexpectedly dies, two estranged sisters are brought together when they find his stash of millions behind a wall. But should they keep it?"
0.0MHz (2019),horror,The members of a supernatural exploration club called 0.0MHz explores a haunted house to prove the existence of frequencies that attract ghosts.
007: Road to a Million (2023),"action, adventure","Nine pairs of everyday people are unleashed on an epic global adventure through a series of Bond inspired challenges, for a shot at winning a life-changing £1,000,000 prize. The Controller, Brian Cox, is the mastermind behind the game, watching the pairs as they hunt for 10 questions he's hidden around the world."
10 Cloverfield Lane (2016),"drama, horror, thriller","After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable."
10 Days of a Curious Man (2024),crime,"When a young woman goes missing in Istanbul, a jaded writer gets tangled up in a deadly chain of events as he sets out to find her—and a good story."
10 Days of a Good Man (2023),"crime, mystery, thriller","A lawyer turned private investigator takes on a missing person case, propelling him on an unexpected and life-altering quest."
10 Lives (2024),"animation, family, fantasy","A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
10 Things I Hate About You (1999),"comedy, drama, romance","On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own."
"10,000 BC (2008)","action, adventure, drama, fantasy",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.
100 Days My Prince (2018),"comedy, drama, mystery","Lee Yool falls off a cliff and nearly dies in an attempted assassination. He loses his memory, and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon."
100KG Vampire (2023),"comedy, horror","Tells the story of Melati (Aya Amiruddin), a beautiful girl who likes to eat. Melati was found dead in a state where she was starving because her mother had eaten her favorite food, which was Telur Ikang Parang.  Jasmine turns into a vampire who disturbs the villagers by eating the food they have. What's surprising, Melati became a 100KG vampire!  Although various efforts were made by the villagers led by Mr. Bayang (Kazar Saisi) to solve this issue, nothing worked and the vampires are still roaming and rampant in the village."
11 Rebels (2024),"drama, thriller","When the brutal Boshin War breaks out in Japan, a group of inmates on death row unite to defend a fortress against the Imperial army."
11.22.63 (2016),"drama, fantasy, science fiction","An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era."
12 Angry Men (1957),drama,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
12 Hour Shift (2020),"comedy, horror, thriller","It's 1999 and over the course of one 12-hour shift at an Arkansas hospital, a junkie nurse, her scheming cousin and a group of black market organ-trading criminals start a heist that could lead to their collective demise."
12 Monkeys (2015),"drama, science fiction","The provocative story of Cole, a time traveler from a decimated future in a high-stakes race against the clock. Utilizing a dangerous and untested method of time travel, he journeys from 2043 to the present day on a mission to locate and eradicate the source of a deadly plague that will all but annihilate the human race."
12 Strong (2018),"action, drama",A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.
12 Years a Slave (2013),drama,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist will forever alter his life."
12.12: The Day (2023),"crime, drama, thriller","After the assassination of President Park, martial law has been declared. A coup d'état bursts out by DefenseSecurity Commander Chun Doo-gwang and a private band of officers following him. Capital Defense Commander Lee Tae-shin, an obstinate soldier who believes the military should not take political actions, fights against Chun Doo-gwang to stop him. The conflict between the two grows while military leaders are holding their decision and Defense Minister is gone. In the midst of chaos, the spring of Seoul that everyone longed for heads to unexpected direction."
127 Hours (2010),"adventure, thriller",The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.
12th Fail (2023),drama,"Based on the true story of IPS officer Manoj Kumar Sharma, 12th Fail sheds limelight on fearlessly embracing the idea of restarting the academic journey despite the setbacks and challenges and reclaiming one's destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC."
13 Going on 30 (2004),"comedy, romance","A girl who's sick of the social strictures of junior high is transformed into a grownup overnight. In this feel-good fairy tale, teenager Jenna wants a boyfriend, and when she's unable to find one, she fantasizes about being a well-adjusted adult. Suddenly, her secret desire becomes a reality, and she is transformed into a 30-year-old, but adulthood, with its own set of male-female challenges, isn't as easy as it looks."
13 Hours: The Secret Soldiers of Benghazi (2016),"action, thriller",An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.
13 Minutes (2021),thriller,"As a new day begins in the small American town of Minninnewah, the residents start their day as ordinary as the next. Mother Nature, however, has other plans for them. Inhabitants have just 13 minutes to seek shelter before the largest tornado on record ravages the town, leaving them struggling to protect their loved ones and fighting for their lives. Left to deal with the aftermath, four families must overcome their differences and find strength in each other in order to survive."
13: The Musical (2022),"comedy, drama, family","After moving from New York City to Indiana, a 12 year old navigates his parents' divorce, his impending bar mitzvah and his new school's social circles."
15+ IQ Krachoot (2017),comedy,"With their teen hormones raging, three high school boys help one another explore their curiosity about the opposite sex and love in this raunchy comedy."
1670 (2023),drama,"In this satirical comedy, a zany nobleman contends with family feuds and clashes with peasants in his quest to become the most famous person in Poland."
16bit Sensation: Another Layer (2023),"animation, anime, comedy, fantasy, science fiction","Konoha Akisato is an illustrator that loves beautiful girls and bishojo games. Her dream is to become a super-popular illustrator, so she is working hard at a bishojo game production company, but reality isn't that kind... With the golden age of social network games in full force, Konoha's company isn't doing well, and she works as a sub illustrator, spending her days painting the backs of random background characters.

One day, the owner of a game shop gives her a classic bishojo game. With all her excitement over the golden age of bishojo games, she opens the package to ""Dokyusei,"" and is enveloped by a bright light. Konoha then realizes that she just traveled back in time!

She ends up in the year 1992! It's the dawn of the bishojo game era! Konoha ends up working at a company called Alcohol Soft. Will she be able to think about, draw, and create all the beautiful girls she's ever wanted?!

A story about a girl and her overwhelming love for beautiful girls—""Now, let's begin!"""
17 Again (2009),"comedy, drama, romance","On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all."
17.3 about a sex (2020),drama,"""The world average age for the first sexual experience... 17.3"". Is that early? Late? Seno Sakura has a serious personality. Hara Tsumugi has never liked a member of the opposite sex before. Minagawa Yuna is experienced and is currently dating a company employee. At the age of 17, the girl's ""sexual values"" begin to fluctuate."
1883 (2021),drama,"Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America's promised land — Montana."
1899 (2022),"drama, mystery","Go behind the scenes and see how the creators of ""Dark"" used groundbreaking virtual technology ""The Volume"" to shoot their new mystery series."
18Ã2 Beyond Youthful Days (2024),"drama, romance","Having lost his job and the company he built, a 36-year-old man at rock bottom goes on a wistful solo trip to Japan in search of the love he left behind."
1911 (2011),"action, adventure, drama",China's first President Sun Yat-Sen and military commander Huang Xing lead the revolutionary Wuchang Uprising in a bid to put an end to the reign of the Qing Dynasty.
1917 (2019),"action, drama","At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers."
1922 (2017),"crime, drama, horror, mystery, thriller","A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate."
1923 (2022),drama,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition, and the Great Depression"
1983 (2018),"crime, drama, mystery","Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student Kajetan and a disgraced police investigator Anatol stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state."
1992 (2024),"crime, mystery","In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide."
1992 (2024),"crime, thriller","In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide."
2 Fast 2 Furious (2003),"action, crime, thriller","It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down."
