poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/meBdUcg308d7jhoVShOXxJDU8pn.jpg,4.9,https://vip2.idlixvip.asia/movie/the-devils-deception-2022/,The Devil's Deception (2022),2022-10-20
https://image.tmdb.org/t/p/w185/2U0Dj7hvEVpWFABwmTH3ZQ6gnGe.jpg,6.6,https://vip2.idlixvip.asia/movie/munafik-2016/,Munafik (2016),2016-02-25
https://image.tmdb.org/t/p/w185/2Abt2GgscAGtGAXTrhH44qPhugI.jpg,5.7,https://vip2.idlixvip.asia/movie/dark-nuns-2025/,Dark Nuns (2025),2025-01-24
https://image.tmdb.org/t/p/w185/mcgvjr9Sb3niTOStwFKWBlPBbyn.jpg,6.3,https://vip2.idlixvip.asia/movie/the-priests-2015/,The Priests (2015),2015-11-05
https://image.tmdb.org/t/p/w185/4kLK3cl4MbrjVFDQXb9PT11ZaV4.jpg,6.5,https://vip2.idlixvip.asia/movie/heart-eyes-2025/,Heart Eyes (2025),2025-02-06
https://image.tmdb.org/t/p/w185/xZIGHoHj0DF0zdibwa66cRWHdHO.jpg,6.6,https://vip2.idlixvip.asia/movie/presence-2025/,Presence (2025),2025-01-16
https://image.tmdb.org/t/p/w185/sf6j1SbgDf7VTjL1MRq5MAQSOyE.jpg,5.0,https://vip2.idlixvip.asia/movie/the-bayou-2025/,The Bayou (2025),2025-01-31
https://image.tmdb.org/t/p/w185/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,7.3,https://vip2.idlixvip.asia/movie/companion-2025/,Companion (2025),2025-01-22
https://image.tmdb.org/t/p/w185/rUmTgkDhBuimpjrl7uSrg2Q5uMX.jpg,0.0,https://vip2.idlixvip.asia/movie/atrocious-2025/,Atrocious (2025),2025-01-09
https://image.tmdb.org/t/p/w185/k894njyPmSnsWIDWG4NGUYd7pLC.jpg,0.0,https://vip2.idlixvip.asia/movie/a-night-of-soul-turning-2023/,A Night of Soul Turning (2023),2023-06-02
https://image.tmdb.org/t/p/w185/5yUPKpy6ijvEBI5b6L0kJC30NHm.jpg,6.5,https://vip2.idlixvip.asia/movie/handsome-guys-2024/,Handsome Guys (2024),2024-06-26
https://image.tmdb.org/t/p/w185/uDW5eeFUYp1vaU2ymEdVBG6g7iq.jpg,7.1,https://vip2.idlixvip.asia/movie/death-whisperer-2-2024/,Death Whisperer 2 (2024),2024-10-10
https://image.tmdb.org/t/p/w185/5ZzBGpxy55OQzHxKVY11IpY6a0o.jpg,0.0,https://vip2.idlixvip.asia/movie/the-devils-advocate-1997/,The Devil's Advocate (1997),1997-10-17
https://image.tmdb.org/t/p/w185/gTlVy3wUApAanIAPdx3yz0YOROD.jpg,0.0,https://vip2.idlixvip.asia/movie/anacondas-the-hunt-for-the-blood-orchid-2004/,Anacondas: The Hunt for the Blood Orchid (2004),2004-08-25
https://image.tmdb.org/t/p/w185/33NysOnLpLZY0ewHTcfpalzAsRG.jpg,0.0,https://vip2.idlixvip.asia/movie/anaconda-1997/,Anaconda (1997),1997-04-11
https://image.tmdb.org/t/p/w185/y910s3Arhlcn1fF9s7iL0v04RRH.jpg,0.0,https://vip2.idlixvip.asia/movie/200kg-vampire-2024/,200KG Vampire (2024),2024-09-05
https://image.tmdb.org/t/p/w185/k5SoO75feHyoRR7C9b33o26wYF7.jpg,0.0,https://vip2.idlixvip.asia/movie/100kg-vampire-2023/,100KG Vampire (2023),2023-04-05
