poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/1a3P3Pt0aE7XnZpLoyz1Mrp1Mn6.jpg,7.0,https://vip2.idlixvip.asia/tvseries/the-embers-2025/,The Embers (2025),2025-02-08
https://image.tmdb.org/t/p/w185/tkgOwXrCgrEc53K1lVljL5MevDA.jpg,8.8,https://vip2.idlixvip.asia/tvseries/just-one-look-2025/,Just One Look (2025),2025-03-05
https://image.tmdb.org/t/p/w185/z6IJi7xmAMmKdbzSnwguIXLIVjN.jpg,6.8,https://vip2.idlixvip.asia/tvseries/suzhal-the-vortex-2022/,Suzhal – The Vortex (2022),2022-06-17
https://image.tmdb.org/t/p/w185/gzmy7jVhInXOPXhf0mxi7Xmb9m5.jpg,7.0,https://vip2.idlixvip.asia/tvseries/okura-cold-case-investigation-2024/,Okura: Cold Case Investigation (2024),2024-10-08
https://image.tmdb.org/t/p/w185/8xlGLbfuGJqzornTo17CQK9PwVX.jpg,7.6,https://vip2.idlixvip.asia/tvseries/the-imperial-coroner-2021/,The Imperial Coroner (2021),2021-04-29
https://image.tmdb.org/t/p/w185/aNXjZwYesgmveMMeQVHERGLQrRs.jpg,8.0,https://vip2.idlixvip.asia/tvseries/dalah-death-and-the-flowers-2025/,Dalah: Death and the Flowers (2025),2025-02-27
https://image.tmdb.org/t/p/w185/2z4ePy6Z6cURDvNnEmR36nidBNU.jpg,5.4,https://vip2.idlixvip.asia/tvseries/now-and-then-2022/,Now and Then (2022),2022-05-20
https://image.tmdb.org/t/p/w185/vKf5h2xEtmTSp4GcYXPOUWdocQ7.jpg,10.0,https://vip2.idlixvip.asia/tvseries/buried-hearts-2025/,Buried Hearts (2025),2025-02-21
https://image.tmdb.org/t/p/w185/zEoX8FfgkQKHMybmxlJ8Vv5huWC.jpg,6.1,https://vip2.idlixvip.asia/tvseries/possessed-2019/,Possessed (2019),2019-03-06
https://image.tmdb.org/t/p/w185/ge0Lk0fDBoFNGdtBXnIEaonyfTW.jpg,5.9,https://vip2.idlixvip.asia/tvseries/liseys-story-2021/,Lisey's Story (2021),2021-06-04
https://image.tmdb.org/t/p/w185/AeBzGdbXlSm0FQyhKyYvfr0ugZl.jpg,5.0,https://vip2.idlixvip.asia/tvseries/the-witch-2025/,The Witch (2025),2025-02-15
https://image.tmdb.org/t/p/w185/oWlXqL2mIyXdXw7RdstMe6VAK6n.jpg,7.0,https://vip2.idlixvip.asia/tvseries/back-for-you-2025/,Back for You (2025),2025-02-04
https://image.tmdb.org/t/p/w185/zLWA9txCHscFrtIs4MlQhTSbd4l.jpg,7.5,https://vip2.idlixvip.asia/tvseries/friendly-rivalry-2025/,Friendly Rivalry (2025),2025-02-10
https://image.tmdb.org/t/p/w185/95EPfJkgNbGFJabSURv4MfjCuvZ.jpg,7.3,https://vip2.idlixvip.asia/tvseries/you-would-do-it-too-2023/,You Would Do It Too (2023),2023-04-26
https://image.tmdb.org/t/p/w185/p8fqg5Ri1FDqlw6r87HSZbPzmcY.jpg,7.1,https://vip2.idlixvip.asia/tvseries/light-of-my-lion-2024/,Light of My Lion (2024),2024-10-11
