poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/4G9uQJvSlcwswPaylRvrAXORJxK.jpg,6.4,https://vip2.idlixvip.asia/movie/guilty-pleasure-2024/,Guilty Pleasure (2024),2024-10-16
https://image.tmdb.org/t/p/w185/voxl654m7p36y8FLu8oQD7dfwwK.jpg,7.2,https://vip2.idlixvip.asia/movie/the-ballad-of-buster-scruggs-2018/,The Ballad of Buster Scruggs (2018),2018-11-09
https://image.tmdb.org/t/p/w185/oKOBmI4IA7NJ9MQngDIQUyv1i0I.jpg,0.0,https://vip2.idlixvip.asia/movie/nadaaniyan-2025/,Nadaaniyan (2025),2025-03-01
https://image.tmdb.org/t/p/w185/r8mUV5bJlUQrco0XWYHUiSVzgdh.jpg,0.0,https://vip2.idlixvip.asia/movie/picture-this-2025/,Picture This (2025),2025-03-05
https://image.tmdb.org/t/p/w185/mSL6truNrWP1Bn9ng1rN0SkMI4f.jpg,5.9,https://vip2.idlixvip.asia/movie/sidelined-the-qb-and-me-2025/,Sidelined: The QB and Me (2025),2025-02-06
https://image.tmdb.org/t/p/w185/nAn3MRAUwbjVApN3qYkvsTEOAvx.jpg,5.6,https://vip2.idlixvip.asia/movie/the-last-summer-2019/,The Last Summer (2019),2019-05-03
https://image.tmdb.org/t/p/w185/2dzSBmFWWqt8NbnubJKIWU21Y86.jpg,6.7,https://vip2.idlixvip.asia/movie/bend-it-like-beckham-2002/,Bend It Like Beckham (2002),2002-04-11
https://image.tmdb.org/t/p/w185/xuiOnu5HxFb67F0fm8mswtIppAZ.jpg,5.4,https://vip2.idlixvip.asia/movie/love-hurts-2025/,Love Hurts (2025),2025-02-06
https://image.tmdb.org/t/p/w185/aau2E9HW5TvlxoNPHET6ZnAcV72.jpg,0.0,https://vip2.idlixvip.asia/movie/a-copenhagen-love-story-2025/,A Copenhagen Love Story (2025),2025-02-25
https://image.tmdb.org/t/p/w185/cr6y0nWdfPb3yZT9Iz63zTE1dQE.jpg,0.0,https://vip2.idlixvip.asia/movie/sosyal-climbers-2025/,Sosyal Climbers (2025),2025-02-27
https://image.tmdb.org/t/p/w185/5mVyFHSY2rSsNgD4NfEwV82HigU.jpg,6.7,https://vip2.idlixvip.asia/movie/the-girl-next-door-2004/,The Girl Next Door (2004),2004-04-09
https://image.tmdb.org/t/p/w185/2E7me3rPi8HqaeheuD86YlpNX6k.jpg,6.5,https://vip2.idlixvip.asia/movie/dhoom-dhaam-2025/,Dhoom Dhaam (2025),2025-02-13
https://image.tmdb.org/t/p/w185/uX8Z3qWJ5OjV1uP7yT6yRlw9UL9.jpg,5.7,https://vip2.idlixvip.asia/movie/love-me-2025/,Love Me (2025),2025-01-31
https://image.tmdb.org/t/p/w185/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,6.8,https://vip2.idlixvip.asia/movie/the-gorge-2025/,The Gorge (2025),2025-02-13
https://image.tmdb.org/t/p/w185/sEma5RN8aZ5Yu2Dkefyn5ULdlc1.jpg,6.1,https://vip2.idlixvip.asia/movie/la-dolce-villa-2025/,La Dolce Villa (2025),2025-02-12
https://image.tmdb.org/t/p/w185/e2yAyz0PR43aIxnGjv9HJryHBys.jpg,5.1,https://vip2.idlixvip.asia/movie/love-forever-2025/,Love Forever (2025),2025-02-13
