poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/i2EEr2uBvRlAwJ8d8zTG2Y19mIa.jpg,8.644,https://vip2.idlixvip.asia/tvseries/hunter-x-hunter-2011/,Hunter x Hunter (2011),2011-10-02
https://image.tmdb.org/t/p/w185/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,6.1,https://vip2.idlixvip.asia/movie/captain-america-brave-new-world-2025/,Captain America: Brave New World (2025),2025-02-12
https://image.tmdb.org/t/p/w185/7mgrqBuQOlJRqMppIp5T6MY5tT1.jpg,7.2,https://vip2.idlixvip.asia/tvseries/love-of-the-divine-tree-2025/,Love of the Divine Tree (2025),2025-02-07
https://image.tmdb.org/t/p/w185/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg,7.9,https://vip2.idlixvip.asia/movie/e-t-the-extra-terrestrial-1982/,E.T. the Extra-Terrestrial (1982),1982-06-11
https://image.tmdb.org/t/p/w185/lPU2nuN0UwwZ6Aj2F58HzYujQiI.jpg,7.8,https://vip2.idlixvip.asia/tvseries/good-bye-dragon-life-2024/,"Good Bye, Dragon Life (2024)",2024-10-11
https://image.tmdb.org/t/p/w185/m5rKz6sVlku4uEG53jwb01chs6O.jpg,6.8,https://vip2.idlixvip.asia/tvseries/acro-trip-2024/,Acro Trip (2024),2024-10-02
https://image.tmdb.org/t/p/w185/uryb30IYNtFCovDWKMvr8reFJu2.jpg,7.8,https://vip2.idlixvip.asia/tvseries/mecha-ude-mechanical-arms-2024/,Mecha-Ude: Mechanical Arms (2024),2024-10-04
https://image.tmdb.org/t/p/w185/8rdB1wkheEMMqcY8qLAKjCMPcnZ.jpg,7.0,https://vip2.idlixvip.asia/movie/my-hero-academia-youre-next-2024/,My Hero Academia: You're Next (2024),2024-08-02
https://image.tmdb.org/t/p/w185/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,7.3,https://vip2.idlixvip.asia/movie/companion-2025/,Companion (2025),2025-01-22
https://image.tmdb.org/t/p/w185/uX8Z3qWJ5OjV1uP7yT6yRlw9UL9.jpg,5.7,https://vip2.idlixvip.asia/movie/love-me-2025/,Love Me (2025),2025-01-31
https://image.tmdb.org/t/p/w185/ge0Lk0fDBoFNGdtBXnIEaonyfTW.jpg,5.9,https://vip2.idlixvip.asia/tvseries/liseys-story-2021/,Lisey's Story (2021),2021-06-04
https://image.tmdb.org/t/p/w185/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,6.8,https://vip2.idlixvip.asia/movie/the-gorge-2025/,The Gorge (2025),2025-02-13
https://image.tmdb.org/t/p/w185/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,6.7,https://vip2.idlixvip.asia/movie/armageddon-1998/,Armageddon (1998),1998-07-01
https://image.tmdb.org/t/p/w185/aL5mNV5UgUoQ00qsC6dvwgQcIbA.jpg,6.4,https://vip2.idlixvip.asia/movie/genocidal-organ-2017/,Genocidal Organ (2017),2017-02-03
https://image.tmdb.org/t/p/w185/kAM5AQMY3mumGm1Dnts8hrJZvYS.jpg,6.4,https://vip2.idlixvip.asia/tvseries/cassandra-2025/,Cassandra (2025),2025-02-06
https://image.tmdb.org/t/p/w185/hP9bsI2B7HONwDrzoNw5Q3QJMqU.jpg,9.9,https://vip2.idlixvip.asia/tvseries/newtopia-2025/,Newtopia (2025),2025-02-07
https://image.tmdb.org/t/p/w185/kYMLpw3DQjQjp2jzNrg3KvNFIr6.jpg,5.6,https://vip2.idlixvip.asia/movie/the-end-2024/,The End (2024),2024-12-06
https://image.tmdb.org/t/p/w185/kjcsNeqF52YUQ2rUBGLMHwLkxvR.jpg,10.0,https://vip2.idlixvip.asia/tvseries/your-friendly-neighborhood-spider-man-2025/,Your Friendly Neighborhood Spider-Man (2025),2025-01-29
https://image.tmdb.org/t/p/w185/egViTAdBqUyUFI2sIBsGbnH5Sun.jpg,7.3,https://vip2.idlixvip.asia/tvseries/let-this-grieving-soul-retire-2024/,Let This Grieving Soul Retire (2024),2024-10-01
https://image.tmdb.org/t/p/w185/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,7.2,https://vip2.idlixvip.asia/movie/sonic-the-hedgehog-3-2024/,Sonic the Hedgehog 3 (2024),2024-12-19
https://image.tmdb.org/t/p/w185/edkdnOZhp0dzG0ltaxmNupVmdbZ.jpg,6.3,https://vip2.idlixvip.asia/tvseries/you-from-the-future-2023/,You From The Future (2023),2023-08-04
https://image.tmdb.org/t/p/w185/zqeFM6cjHjYmgjqJExjt1NPBPdd.jpg,4.8,https://vip2.idlixvip.asia/movie/year-10-2024/,Year 10 (2024),2024-08-24
https://image.tmdb.org/t/p/w185/goE7QiiaRkzVLnwaODRNKarWljv.jpg,8.4,https://vip2.idlixvip.asia/tvseries/nina-the-starry-bride-2024/,Nina the Starry Bride (2024),2024-10-07
https://image.tmdb.org/t/p/w185/uXPVVKStMexPJbFyi2U92Vmrm5K.jpg,0.0,https://vip2.idlixvip.asia/tvseries/ubel-blatt-2025/,Übel Blatt (2025),2025-01-11
https://image.tmdb.org/t/p/w185/ArigqJbfDo442t6h7pzRspTW1Zh.jpg,3.8,https://vip2.idlixvip.asia/movie/the-adventures-of-sharkboy-and-lavagirl-2005/,The Adventures of Sharkboy and Lavagirl (2005),2005-06-10
https://image.tmdb.org/t/p/w185/cGRDufDDSrFrv7VI4YnmWnslne0.jpg,3.8,https://vip2.idlixvip.asia/movie/batman-robin-1997/,Batman & Robin (1997),1997-06-20
https://image.tmdb.org/t/p/w185/aQ1d9OB0xtAenIL0Ke3xV17St4S.jpg,3.7,https://vip2.idlixvip.asia/movie/superman-iv-the-quest-for-peace-1987/,Superman IV: The Quest for Peace (1987),1987-07-24
https://image.tmdb.org/t/p/w185/A2YQEocqHaz9Lmj66P4gnRBvA5L.jpg,5.0,https://vip2.idlixvip.asia/movie/superman-iii-1983/,Superman III (1983),1983-06-17
https://image.tmdb.org/t/p/w185/3xk5cno9BHcnwc97XO9k21aI1Zi.jpg,6.8,https://vip2.idlixvip.asia/movie/superman-ii-1980/,Superman II (1980),1980-12-12
https://image.tmdb.org/t/p/w185/d7px1FQxW4tngdACVRsCSaZq0Xl.jpg,7.4,https://vip2.idlixvip.asia/movie/superman-1978/,Superman (1978),1978-12-14
https://image.tmdb.org/t/p/w185/ajghauMTZ4RKVeISDUzxcMWjXnI.jpg,8.3,https://vip2.idlixvip.asia/tvseries/goosebumps-the-vanishing-2025/,Goosebumps: The Vanishing (2025),2025-01-10
https://image.tmdb.org/t/p/w185/pdOiUbJ0vEJfh5OGFG8y1e4InQ7.jpg,8.0,https://vip2.idlixvip.asia/tvseries/when-the-stars-gossip-2025/,When the Stars Gossip (2025),2025-01-04
https://image.tmdb.org/t/p/w185/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,8.3,https://vip2.idlixvip.asia/tvseries/supernatural-2005/,Supernatural (2005),2005-09-13
