poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/vEpff27h01hEs4jBh9KO6poZDdW.jpg,10.0,https://vip2.idlixvip.asia/tvseries/doubters-to-believers-liverpool-fc-klopps-era-2025/,Doubters to Believers Liverpool FC: Klopp's Era (2025),2025-02-24
https://image.tmdb.org/t/p/w185/lst1t3sln5F7p2MsYwFevVNDOJV.jpg,7.0,https://vip2.idlixvip.asia/tvseries/bad-sport-2021/,Bad Sport (2021),2021-10-06
https://image.tmdb.org/t/p/w185/dSHQsjI4oevuiBAuYXSFZ2RNYcB.jpg,0.0,https://vip2.idlixvip.asia/tvseries/onside-major-league-soccer-2025/,Onside: Major League Soccer (2025),2025-02-20
https://image.tmdb.org/t/p/w185/i9Hia8NKk9DBIyb5mNzoDxMDGMN.jpg,10.0,https://vip2.idlixvip.asia/tvseries/court-of-gold-2025/,Court of Gold (2025),2025-02-18
https://image.tmdb.org/t/p/w185/vkoeGB6qZM7WgdUWZNkWkTfh6wK.jpg,0.0,https://vip2.idlixvip.asia/tvseries/real-madrid-how-could-i-not-love-you-2025/,Real Madrid: How Could I Not Love You (2025),2025-02-10
https://image.tmdb.org/t/p/w185/m19Cko9WIICOCdV7qiRyj5ZxyhE.jpg,5.9,https://vip2.idlixvip.asia/tvseries/love-all-play-2022-2/,Love All Play (2022),2022-04-02
https://image.tmdb.org/t/p/w185/glYpqNuZVfMeTrGz21JLtor48N5.jpg,10.0,https://vip2.idlixvip.asia/tvseries/together-treble-winners-2024/,Together: Treble Winners (2024),2024-04-02
https://image.tmdb.org/t/p/w185/iVYu4CooA9vSEpbJPiqV9wSJll.jpg,7.857,https://vip2.idlixvip.asia/tvseries/messis-world-cup-the-rise-of-a-legend-2024/,Messi's World Cup: The Rise of a Legend (2024),2024-02-20
https://image.tmdb.org/t/p/w185/7C1PMnV0uMrMNcfws5J7aLNxe3Q.jpg,7.982,https://vip2.idlixvip.asia/tvseries/initial-d-1998/,Initial D (1998),1998-04-18
https://image.tmdb.org/t/p/w185/nk1mNTw30bfhvMb89ismDOCamgO.jpg,7.5,https://vip2.idlixvip.asia/tvseries/maradona-blessed-dream-2021/,"Maradona, Blessed Dream (2021)",2021-10-29
https://image.tmdb.org/t/p/w185/fXhZCpFlFXST8qZt2dYT4XTeF1E.jpg,10.0,https://vip2.idlixvip.asia/tvseries/nascar-full-speed-2024/,NASCAR: Full Speed (2024),2024-01-30
https://image.tmdb.org/t/p/w185/npyfYUOoHWVZJyqI1jscbT6taCt.jpg,7.1,https://vip2.idlixvip.asia/tvseries/winning-time-the-rise-of-the-lakers-dynasty-2022/,Winning Time: The Rise of the Lakers Dynasty (2022),2022-03-06
https://image.tmdb.org/t/p/w185/9Ou093yVLMxAhHrwL6fa1VTejI4.jpg,7.0,https://vip2.idlixvip.asia/tvseries/becoming-champions-2018/,Becoming Champions (2018),2018-08-01
https://image.tmdb.org/t/p/w185/oVf4xGGbDtwVHiKn8uTuSriY7PH.jpg,8.3,https://vip2.idlixvip.asia/tvseries/the-last-dance-2020/,The Last Dance (2020),2020-04-19
https://image.tmdb.org/t/p/w185/dHB3uysBq2hiyDmkYKrH7QqVXAR.jpg,7.0,https://vip2.idlixvip.asia/tvseries/matchday-inside-fc-barcelona-2019/,Matchday: Inside FC Barcelona (2019),2019-11-12
https://image.tmdb.org/t/p/w185/xOPd7kAldpA6oFNb7RR5eVUyPMt.jpg,7.0,https://vip2.idlixvip.asia/tvseries/take-us-home-leeds-united-2019/,Take Us Home: Leeds United (2019),2019-08-16
https://image.tmdb.org/t/p/w185/ecQ84z2sR0XapZu435MnFuEBzD8.jpg,8.609,https://vip2.idlixvip.asia/tvseries/haikyu-2014/,Haikyu!! (2014),2014-04-06
https://image.tmdb.org/t/p/w185/zHgc9nTXiP77qoy14BO7WUFTwkp.jpg,7.0,https://vip2.idlixvip.asia/tvseries/captain-tsubasa-2018/,Captain Tsubasa (2018),2018-04-03
https://image.tmdb.org/t/p/w185/isIjEf54wvdAHNvFINN1osQ2w7Q.jpg,7.0,https://vip2.idlixvip.asia/tvseries/hinomaru-sumo-2018/,Hinomaru Sumo (2018),2018-10-05
https://image.tmdb.org/t/p/w185/xBb1OvJxOTXtjdZDPfkzi5nXkAd.jpg,8.2,https://vip2.idlixvip.asia/tvseries/sunderland-til-i-die-2018/,Sunderland 'Til I Die (2018),2018-12-14
https://image.tmdb.org/t/p/w185/jJNt35kX7Ovxm3zZqt0eaSzwFxO.jpg,7.9,https://vip2.idlixvip.asia/tvseries/megalobox-2018/,MEGALOBOX (2018),2018-04-06
https://image.tmdb.org/t/p/w185/hZZpqv9bKo9tUMmQY54HIJcgyqx.jpg,8.3,https://vip2.idlixvip.asia/tvseries/formula-1-drive-to-survive-2019/,Formula 1: Drive to Survive (2019),2019-03-08
