poster,rating,link,title,date
https://image.tmdb.org/t/p/w185/meBdUcg308d7jhoVShOXxJDU8pn.jpg,4.9,https://vip2.idlixvip.asia/movie/the-devils-deception-2022/,The Devil's Deception (2022),2022-10-20
https://image.tmdb.org/t/p/w185/2U0Dj7hvEVpWFABwmTH3ZQ6gnGe.jpg,6.6,https://vip2.idlixvip.asia/movie/munafik-2016/,Munafik (2016),2016-02-25
https://image.tmdb.org/t/p/w185/xJpsioMYBKBL5RS9G5VxCJNF1me.jpg,5.1,https://vip2.idlixvip.asia/movie/murderer-2013/,Murderer (2013),2013-12-12
https://image.tmdb.org/t/p/w185/2Abt2GgscAGtGAXTrhH44qPhugI.jpg,5.7,https://vip2.idlixvip.asia/movie/dark-nuns-2025/,Dark Nuns (2025),2025-01-24
https://image.tmdb.org/t/p/w185/mcgvjr9Sb3niTOStwFKWBlPBbyn.jpg,6.3,https://vip2.idlixvip.asia/movie/the-priests-2015/,The Priests (2015),2015-11-05
https://image.tmdb.org/t/p/w185/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,6.1,https://vip2.idlixvip.asia/movie/captain-america-brave-new-world-2025/,Captain America: Brave New World (2025),2025-02-12
https://image.tmdb.org/t/p/w185/3W1PZYEiDXWLLjLCMUbRPfjHxmq.jpg,5.8,https://vip2.idlixvip.asia/movie/delicious-2025/,Delicious (2025),2025-02-18
https://image.tmdb.org/t/p/w185/7Qeo49CeZR91SznAAgjdHVdXQad.jpg,6.8,https://vip2.idlixvip.asia/movie/11-rebels-2024/,11 Rebels (2024),2024-11-01
https://image.tmdb.org/t/p/w185/j3Q2MrpmaOrKfN2pInNvRNhYa4G.jpg,2.9,https://vip2.idlixvip.asia/movie/putin-2025/,Putin (2025),2025-01-09
https://image.tmdb.org/t/p/w185/AnDwpI8dY8iqJVUwVS5UotYAbB1.jpg,5.6,https://vip2.idlixvip.asia/movie/squad-36-2025/,Squad 36 (2025),2025-02-27
https://image.tmdb.org/t/p/w185/lI2uFlSEkwXKljqiry7coaJ6wIS.jpg,0.0,https://vip2.idlixvip.asia/movie/counterattack-2025/,Counterattack (2025),2025-02-27
https://image.tmdb.org/t/p/w185/sf6j1SbgDf7VTjL1MRq5MAQSOyE.jpg,5.0,https://vip2.idlixvip.asia/movie/the-bayou-2025/,The Bayou (2025),2025-01-31
https://image.tmdb.org/t/p/w185/3edgGAzjzaZwMcvEiTFElIztmF2.jpg,0.0,https://vip2.idlixvip.asia/movie/demon-city-2025/,Demon City (2025),2025-02-26
https://image.tmdb.org/t/p/w185/AsUeaXrhw4oscCSjUZ6heh1pVvd.jpg,6.4,https://vip2.idlixvip.asia/movie/faster-2010/,Faster (2010),2010-11-23
https://image.tmdb.org/t/p/w185/vThgcb3JOj99yETg8WChuci4LV2.jpg,7.8,https://vip2.idlixvip.asia/movie/the-day-of-the-jackal-1973/,The Day of the Jackal (1973),1973-05-16
https://image.tmdb.org/t/p/w185/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,7.3,https://vip2.idlixvip.asia/movie/companion-2025/,Companion (2025),2025-01-22
https://image.tmdb.org/t/p/w185/sT8Z14RDCAd6szzxzWFAU4xcMwg.jpg,5.6,https://vip2.idlixvip.asia/movie/valiant-one-2025/,Valiant One (2025),2025-01-30
https://image.tmdb.org/t/p/w185/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,6.8,https://vip2.idlixvip.asia/movie/the-gorge-2025/,The Gorge (2025),2025-02-13
